epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7366,2.12477,5.77219,0.02134,0.03822,0.29008,0.0591,0.03071,1.58394,5.23404,0.01283,0.000207511,0.000207511,0.000207511
2,143.471,1.3617,4.19918,0.01173,0.0606,0.67603,0.11935,0.07231,1.49399,5.15325,0.01631,0.000425589,0.000425589,0.000425589
3,211.538,1.21108,3.48666,0.01077,0.39262,0.19651,0.24069,0.14674,1.31115,4.17357,0.01255,0.000639265,0.000639265,0.000639265
4,277.833,1.24396,2.92252,0.01145,0.69795,0.42405,0.48312,0.34867,1.11235,3.19223,0.01013,0.00064719,0.00064719,0.00064719
5,344.169,1.16964,2.56914,0.00983,0.80282,0.39767,0.57347,0.38464,1.12214,2.93405,0.01013,0.000640587,0.000640587,0.000640587
6,410.445,1.14387,2.2614,0.00941,0.62301,0.7,0.72241,0.46666,1.2469,2.37029,0.01034,0.000633983,0.000633983,0.000633983
7,476.982,1.14466,2.0303,0.00967,0.50399,0.75134,0.74802,0.49791,1.24777,2.07623,0.00954,0.00062738,0.00062738,0.00062738
8,543.149,1.13148,1.81028,0.00901,0.5982,0.788,0.82527,0.53349,1.28553,1.81827,0.01221,0.000620777,0.000620777,0.000620777
9,609.553,1.14166,1.68444,0.00956,0.60425,0.79115,0.84994,0.54756,1.27473,1.63629,0.01104,0.000614174,0.000614174,0.000614174
10,676.245,1.13398,1.56463,0.0095,0.81665,0.70088,0.86609,0.5703,1.18449,1.47414,0.00927,0.00060757,0.00060757,0.00060757
11,742.845,1.07525,1.45143,0.00883,0.63665,0.84405,0.86656,0.57546,1.22693,1.38247,0.01064,0.000600967,0.000600967,0.000600967
12,809.91,1.05202,1.32004,0.00835,0.77883,0.82545,0.90568,0.62601,1.11375,1.27295,0.00927,0.000594364,0.000594364,0.000594364
13,880.332,1.06243,1.24623,0.00848,0.74557,0.86656,0.91058,0.57936,1.23165,1.24632,0.00924,0.00058776,0.00058776,0.00058776
14,956.59,1.088,1.18568,0.00819,0.83467,0.84199,0.91605,0.59408,1.24009,1.11059,0.0089,0.000581157,0.000581157,0.000581157
15,1024.67,1.09612,1.13412,0.00841,0.77307,0.92146,0.94415,0.60612,1.21072,1.07336,0.0082,0.000574554,0.000574554,0.000574554
16,1091.36,1.0572,1.05457,0.00827,0.74313,0.91443,0.93821,0.62639,1.13883,1.05204,0.00917,0.00056795,0.00056795,0.00056795
17,1158.76,1.06529,1.04301,0.00806,0.84488,0.88479,0.96371,0.63775,1.16417,0.92266,0.00805,0.000561347,0.000561347,0.000561347
18,1225.92,1.01532,0.97346,0.00775,0.87582,0.94777,0.96383,0.62132,1.2068,0.89384,0.00822,0.000554744,0.000554744,0.000554744
19,1292.64,1.01937,0.92701,0.00754,0.88149,0.93854,0.95808,0.62189,1.26706,0.87298,0.00859,0.000548141,0.000548141,0.000548141
20,1359.06,1.08402,0.9486,0.00802,0.89756,0.95826,0.97687,0.69713,1.01622,0.76721,0.00771,0.000541537,0.000541537,0.000541537
21,1427.18,1.00789,0.8614,0.00733,0.88776,0.96435,0.97694,0.60468,1.35859,0.80854,0.00907,0.000534934,0.000534934,0.000534934
22,1493.68,0.96881,0.81668,0.00721,0.94461,0.9543,0.98293,0.66879,1.15473,0.73476,0.00792,0.000528331,0.000528331,0.000528331
23,1559.88,0.96332,0.79432,0.00725,0.93614,0.93642,0.97406,0.64605,1.21926,0.72432,0.00867,0.000521727,0.000521727,0.000521727
24,1627.73,0.97755,0.75241,0.00751,0.93316,0.94889,0.98486,0.64463,1.26233,0.76374,0.00802,0.000515124,0.000515124,0.000515124
25,1694.17,0.98113,0.77923,0.00714,0.92442,0.95355,0.98401,0.68759,1.13597,0.69235,0.0079,0.000508521,0.000508521,0.000508521
26,1760.68,0.9594,0.70544,0.00704,0.8887,0.96073,0.9791,0.64754,1.2587,0.69347,0.00836,0.000501917,0.000501917,0.000501917
