epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.60708,2.00013,7.52846,0.04025,0.07262,0.29596,0.41623,0.32597,0.24553,0.99372,6.1822,0.02256,0.00345,0.000215385,0.000215385,0.000215385
2,19.1413,1.00907,3.7997,0.02448,0.01508,0.72164,0.58253,0.69229,0.49967,1.0331,3.73884,0.01911,0.00674,0.000437612,0.000437612,0.000437612
3,27.8413,1.0086,2.82382,0.02317,0.01323,0.81532,0.77389,0.89318,0.662,0.89519,2.96688,0.01907,0.00925,0.000659407,0.000659407,0.000659407
4,37.8491,0.92744,2.18685,0.021,0.0136,0.90767,0.91136,0.96241,0.77595,0.8044,2.04182,0.01836,0.00534,0.000665535,0.000665535,0.000665535
5,48.0129,0.89643,1.77435,0.0217,0.01072,0.96059,0.90843,0.97174,0.78406,0.77528,1.65754,0.01729,0.00252,0.000664397,0.000664397,0.000664397
6,57.231,0.87306,1.51773,0.02168,0.00878,0.92119,0.95911,0.97972,0.82484,0.69166,1.35933,0.01674,0.0043,0.000662935,0.000662935,0.000662935
7,66.2977,0.84256,1.33462,0.01971,0.01016,0.9792,0.95129,0.98818,0.8292,0.71665,1.18126,0.01589,0.00227,0.000661152,0.000661152,0.000661152
8,79.6257,0.84273,1.22624,0.02139,0.01075,0.9753,0.96374,0.98992,0.80626,0.75033,1.06707,0.01556,0.00233,0.000659049,0.000659049,0.000659049
9,90.4183,0.83045,1.11668,0.02101,0.00795,0.96875,0.96989,0.99263,0.81536,0.68984,1.04766,0.01658,0.0059,0.000656627,0.000656627,0.000656627
10,102.604,0.84108,1.06934,0.02178,0.00777,0.97463,0.97517,0.99127,0.8195,0.73016,0.96392,0.01769,0.00252,0.00065389,0.00065389,0.00065389
11,114.599,0.80555,0.99986,0.02242,0.00748,0.95044,0.99161,0.99137,0.8218,0.6588,0.90258,0.01607,0.00172,0.000650841,0.000650841,0.000650841
12,124.278,0.75879,0.92471,0.02107,0.0066,0.98619,0.98164,0.99258,0.84311,0.64943,0.85791,0.01518,0.00265,0.000647481,0.000647481,0.000647481
13,133.925,0.71373,0.8508,0.0198,0.00584,0.98226,0.99196,0.99397,0.85217,0.60099,0.77611,0.01521,0.0023,0.000643815,0.000643815,0.000643815
14,142.468,0.71682,0.8426,0.02015,0.00533,0.98294,0.98729,0.99441,0.85454,0.57989,0.71349,0.01431,0.00125,0.000639845,0.000639845,0.000639845
15,151.921,0.71127,0.80402,0.01917,0.00528,0.98399,0.98847,0.99408,0.86122,0.5988,0.69868,0.01431,0.00123,0.000635577,0.000635577,0.000635577
16,161.798,0.73086,0.77261,0.02079,0.00593,0.98358,0.99004,0.99485,0.85313,0.61269,0.67366,0.01321,0.00149,0.000631014,0.000631014,0.000631014
17,171.674,0.70182,0.71234,0.01781,0.00487,0.98627,0.99359,0.995,0.86297,0.5699,0.62878,0.01304,0.00115,0.000626161,0.000626161,0.000626161
18,181.29,0.72513,0.67759,0.01921,0.00545,0.97999,0.98535,0.99485,0.84648,0.68432,0.62042,0.01371,0.00159,0.000621022,0.000621022,0.000621022
19,190.954,0.79192,0.72087,0.01731,0.0075,0.98832,0.98716,0.995,0.84825,0.6203,0.5888,0.01399,0.00167,0.000615603,0.000615603,0.000615603
20,200.527,0.7174,0.68112,0.02085,0.005,0.98398,0.98524,0.99456,0.85419,0.63651,0.62041,0.01387,0.00159,0.000609908,0.000609908,0.000609908
21,209.018,0.71095,0.66809,0.01619,0.00376,0.99104,0.98602,0.99418,0.86424,0.60587,0.59647,0.01473,0.00108,0.000603944,0.000603944,0.000603944
