epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6925,1.11946,6.62517,0.04253,0.00333,1,0.47205,0.37782,0.41264,11.0343,0.02019,0.000606061,0.000606061,0.000606061
2,45.9699,0.72989,5.70326,0.02424,0.00333,1,0.60246,0.34416,0.70858,11.2147,0.03425,0.00124753,0.00124753,0.00124753
3,68.0686,0.81302,5.36966,0.02668,0.00333,1,0.74734,0.31704,1.02793,11.3269,0.04884,0.00186259,0.00186259,0.00186259
4,89.6434,0.79467,5.09972,0.02672,0.00333,1,0.59161,0.46176,0.55871,10.3434,0.02708,0.0018812,0.0018812,0.0018812
5,111.445,0.81109,4.57788,0.02402,0.00333,1,0.52886,0.32589,0.98928,10.7216,0.04802,0.0018416,0.0018416,0.0018416
6,133.149,0.85549,4.06922,0.02592,0.00333,1,0.85576,0.40288,1.64282,11.2259,0.08181,0.001802,0.001802,0.001802
7,156.222,0.90355,4.26576,0.031,0.00333,1,0.7403,0.55448,0.93582,9.95929,0.0453,0.0017624,0.0017624,0.0017624
8,178.293,0.89287,3.94338,0.02852,0.47236,0.98539,0.81527,0.64222,0.8203,9.49506,0.04024,0.0017228,0.0017228,0.0017228
9,200.024,0.99219,3.88831,0.03465,0.77206,0.6,0.71024,0.52401,0.95054,9.14717,0.04835,0.0016832,0.0016832,0.0016832
10,220.705,0.83983,3.68006,0.03017,0.51954,0.4,0.695,0.38765,1.46331,9.54222,0.08172,0.0016436,0.0016436,0.0016436
11,242.023,0.7602,3.56693,0.02428,1,0.69891,0.94056,0.84643,0.4745,6.99862,0.02307,0.001604,0.001604,0.001604
12,264.957,0.83389,3.21051,0.0265,0.91247,0.7,0.93714,0.72649,0.96463,7.13206,0.0494,0.0015644,0.0015644,0.0015644
13,287.777,0.7874,2.96467,0.0255,0.7356,0.9,0.9575,0.78839,0.79486,6.62187,0.04045,0.0015248,0.0015248,0.0015248
14,310.912,0.79854,3.03648,0.02448,0.90095,0.7,0.93032,0.77408,0.73384,5.76518,0.03705,0.0014852,0.0014852,0.0014852
15,333.994,0.85705,2.78574,0.02692,0.80507,0.82786,0.92126,0.62031,1.4506,6.27624,0.07893,0.0014456,0.0014456,0.0014456
16,357.213,0.85205,3.0043,0.02994,0.788,0.8,0.90333,0.59819,1.29232,6.09386,0.06876,0.001406,0.001406,0.001406
17,378.259,0.86115,2.94871,0.02843,0.82908,1,0.93833,0.79886,0.67834,4.98217,0.03285,0.0013664,0.0013664,0.0013664
18,402.115,0.75096,2.54496,0.02318,0.82635,0.95392,0.92,0.83109,0.52698,4.79558,0.02573,0.0013268,0.0013268,0.0013268
19,428.949,0.78798,2.55927,0.02327,0.88415,0.76587,0.91194,0.74965,0.81281,4.81039,0.04156,0.0012872,0.0012872,0.0012872
20,450.431,0.79848,2.48738,0.02585,0.87618,0.9,0.9475,0.79408,0.81084,4.60985,0.04139,0.0012476,0.0012476,0.0012476
21,471.833,0.67782,2.28753,0.02098,1,0.78084,0.94825,0.85342,0.64307,4.39497,0.03222,0.001208,0.001208,0.001208
22,493.492,0.68252,2.3088,0.02048,0.95783,1,0.995,0.8955,0.49806,3.98239,0.02385,0.0011684,0.0011684,0.0011684
23,515.384,0.59093,1.9127,0.01787,0.86967,0.9,0.97833,0.89417,0.42287,3.84268,0.02074,0.0011288,0.0011288,0.0011288
24,537.704,0.53248,1.98803,0.01551,0.96079,1,0.995,0.90839,0.50952,3.73123,0.02486,0.0010892,0.0010892,0.0010892
25,559.739,0.65725,2.07483,0.01816,1,0.96496,0.995,0.87576,0.69936,3.62574,0.03399,0.0010496,0.0010496,0.0010496
