epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54733,2.06622,8.07681,7.18763,0.07788,10.6424,0.6677,0.56521,0.7225,0.39228,0.6677,0.56521,0.7225,0.28136,0.88861,1.83497,8.51384,0.03728,0,0.000619048,0.000619048,0.000619048
2,12.1487,1.99371,8.39892,6.87635,0.07614,10.8764,0.46058,0.40625,0.36273,0.23397,0.42515,0.375,0.3309,0.19629,0.74026,1.37488,7.62641,0.03029,0,0.0012854,0.0012854,0.0012854
3,17.5454,1.86432,5.17149,4.61409,0.06814,8.85933,0.00323,0.9375,0.12653,0.03203,0.00129,0.375,0.02078,0.00426,2.63527,9.24922,6.99552,0.11615,0,0.00195047,0.00195047,0.00195047
4,22.7988,1.85131,3.17384,3.3603,0.06348,4.36591,0,0,0,0,0,0,0,0,0.39011,2289.32,39.2704,0.02062,0,0.00199561,0.00199561,0.00199561
5,28.4898,1.93127,2.56992,3.11599,0.06763,1.71375,0,0,0,0,0,0,0,0,2.87998,935.419,7.05415,0.12505,0,0.00199219,0.00199219,0.00199219
6,36.2221,1.98025,2.20573,2.95115,0.07674,2.13148,0.00454,0.1875,0.00107,0.00012,0.00076,0.03125,4e-05,0,nan,nan,nan,nan,0,0.00198781,0.00198781,0.00198781
7,43.869,1.70678,2.09235,2.64579,0.06236,1.53421,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198246,0.00198246,0.00198246
8,51.842,1.74167,2.10233,2.61555,0.06175,1.32279,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197616,0.00197616,0.00197616
9,61.4015,1.71896,1.75495,2.4107,0.05978,1.00522,0,0,0,0,0,0,0,0,6.5671,612.047,5.71016,0.43598,0,0.0019689,0.0019689,0.0019689
10,70.7249,1.47135,1.48522,2.35519,0.05545,1.10057,0,0,0,0,0,0,0,0,4.83562,356.925,5.3447,0.22486,0,0.00196069,0.00196069,0.00196069
