epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,56.049,1.12949,12.1821,0.02587,0.2551,0.73208,0.39671,0.25841,1.1284,15.0859,0.03408,0.000505152,0.000505152,0.000505152
2,109.967,0.82032,7.192,0.01883,0.85683,0.375,0.40554,0.27195,1.04635,13.1627,0.02804,0.00105032,0.00105032,0.00105032
3,155.539,1.16059,5.89843,0.02925,0.00043,0.25,0.00305,0.0006,1.4746,12.1205,0.0405,0.00158448,0.00158448,0.00158448
4,201.273,1.38521,4.74253,0.03322,0.19578,0.68568,0.30177,0.17467,1.59951,10.4894,0.04658,0.00161749,0.00161749,0.00161749
5,246.843,1.24028,4.05349,0.03186,0.30031,0.875,0.65493,0.38393,1.16068,7.40349,0.03195,0.00160099,0.00160099,0.00160099
6,294.258,1.09883,3.33637,0.02601,0.30175,0.375,0.35181,0.12721,0.99688,7.02234,0.02805,0.00158448,0.00158448,0.00158448
7,346.384,1.23107,2.82771,0.02725,0.25279,0.875,0.36494,0.24093,1.00253,7.14377,0.02791,0.00156798,0.00156798,0.00156798
8,393.658,1.19977,2.68149,0.02857,0.23874,0.5,0.25151,0.16559,0.73275,5.17037,0.01948,0.00155148,0.00155148,0.00155148
9,440.206,1.18604,2.46732,0.02634,0.8677,0.5,0.83875,0.58663,1.04648,2.94542,0.02651,0.00153497,0.00153497,0.00153497
10,486.556,1.14332,2.31937,0.02503,0.42269,0.69473,0.70563,0.53436,0.69704,2.13976,0.01706,0.00151847,0.00151847,0.00151847
11,535.226,1.04271,1.91391,0.02449,0.72694,0.62419,0.74738,0.5977,0.83728,2.32101,0.02188,0.00150197,0.00150197,0.00150197
12,594.623,1.06905,1.73811,0.02526,0.579,0.75,0.69007,0.54478,0.78113,2.93199,0.01959,0.00148546,0.00148546,0.00148546
13,653.677,1.08741,1.70357,0.02545,0.67725,0.375,0.39625,0.3132,0.58532,5.69716,0.01504,0.00146896,0.00146896,0.00146896
14,712.914,1.04324,1.58878,0.02223,0.68679,0.375,0.32078,0.23246,1.15061,2.34678,0.02909,0.00145246,0.00145246,0.00145246
15,771.582,1.109,1.65803,0.02502,0.84613,0.375,0.3831,0.27026,0.96036,2.19656,0.02487,0.00143595,0.00143595,0.00143595
16,829.781,0.9431,1.30953,0.02087,0.39467,0.875,0.79306,0.64148,0.79101,1.35149,0.02063,0.00141945,0.00141945,0.00141945
17,888.543,1.04414,1.27102,0.02366,0.72852,0.60471,0.69202,0.57692,0.89474,1.38273,0.02429,0.00140295,0.00140295,0.00140295
18,947.518,1.01941,1.36824,0.023,0.70568,0.85302,0.79771,0.65322,0.78322,1.11893,0.01995,0.00138644,0.00138644,0.00138644
19,1005.88,0.90197,1.24769,0.01849,0.81891,0.97094,0.92,0.82648,0.55665,0.79119,0.01374,0.00136994,0.00136994,0.00136994
20,1063.88,1.14296,1.21987,0.02667,0.90759,0.75,0.92833,0.77888,0.81809,0.78092,0.02154,0.00135344,0.00135344,0.00135344
21,1122,1.10928,1.12893,0.02616,0.86757,0.8483,0.92208,0.6816,1.1292,1.04521,0.03146,0.00133693,0.00133693,0.00133693
22,1180.64,1.11372,1.20794,0.02727,0.87606,0.98904,0.945,0.70869,1.03225,0.70591,0.02688,0.00132043,0.00132043,0.00132043
23,1239.75,1.11623,1.26865,0.02459,0.87454,0.969,0.97,0.70085,1.16416,0.77136,0.03092,0.00130393,0.00130393,0.00130393
24,1298.75,0.97944,0.9789,0.02371,0.91305,0.93419,0.995,0.77178,1.04792,0.62342,0.02738,0.00128742,0.00128742,0.00128742
