epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,7.15626,2.67769,5.35444,0.02901,0.00513,0.08,0.02283,0.01627,2.16624,6.21115,0.02222,0.00027775,0.00027775,0.00027775
2,14.0674,2.14844,5.12699,0.01912,0.01383,0.24,0.03427,0.01111,1.63744,5.74705,0.01497,0.000641667,0.000641667,0.000641667
3,20.6878,1.59653,5.00251,0.01603,0.01383,0.24,0.03427,0.01111,1.63744,5.74705,0.01497,0.000998252,0.000998252,0.000998252
4,27.4873,1.37753,5.07254,0.01269,0.02685,0.48,0.21526,0.1327,1.34162,5.52608,0.01454,0.001078,0.001078,0.001078
5,34.7833,1.68078,4.92453,0.02285,0.02685,0.48,0.21526,0.1327,1.34162,5.52608,0.01454,0.001067,0.001067,0.001067
6,41.9811,1.39364,4.88671,0.01639,0.00515,0.28,0.08129,0.05073,1.7474,5.77174,0.02224,0.00105601,0.00105601,0.00105601
7,49.0637,1.40043,4.8475,0.01451,0.00722,0.4,0.12334,0.07709,1.6545,5.66974,0.01963,0.00104501,0.00104501,0.00104501
8,55.4239,1.20362,4.52667,0.0132,0.00722,0.4,0.12334,0.07709,1.6545,5.66974,0.01963,0.00103401,0.00103401,0.00103401
9,61.6049,1.16212,4.49724,0.01403,0.01072,0.52,0.19787,0.14525,1.33819,5.51835,0.01301,0.00102301,0.00102301,0.00102301
10,67.6036,1.13502,4.31728,0.0115,0.01072,0.52,0.19787,0.14525,1.33819,5.51835,0.01301,0.00101201,0.00101201,0.00101201
11,73.5322,1.27463,4.1326,0.01206,0.01241,0.68,0.18429,0.14574,1.39099,5.39483,0.01301,0.00100101,0.00100101,0.00100101
12,79.4583,1.13337,4.10454,0.01095,0.01241,0.68,0.18429,0.14574,1.39099,5.39483,0.01301,0.000990012,0.000990012,0.000990012
