text,label
Nama di rekening tujuan beda jauh dengan nama plang toko,identity_mismatch
Nama pemilik rekening yang muncul bukan nama merchant resmi,identity_mismatch
Nama penerima beda sama nama toko,identity_mismatch
Nama penerima beda sama nama toko deh,identity_mismatch
Nama penerima beda sama nama toko nih,identity_mismatch
Nama penerima beda sama nama toko ya,identity_mismatch
Nama penerima beda sama nama toko banget,identity_mismatch
Nama penerima beda sama nama toko sih,identity_mismatch
Nama penerima beda sama nama toko aja,identity_mismatch
Nama penerima beda sama nama toko kok,identity_mismatch
Nama penerima beda sama nama toko dong,identity_mismatch
Nama penerima beda sama nama toko bgt,identity_mismatch
Nama penerima beda sama nama toko kayaknya,identity_mismatch
Nama penerima beda sama nama toko menurut saya,identity_mismatch
Nama penerima beda sama nama toko pas saya bayar,identity_mismatch
Nama penerima beda sama nama toko waktu saya transaksi,identity_mismatch
Nama penerima beda sama nama toko pas discan jadi saya ragu,"identity_mismatch",
Nama penerima beda sama nama toko di toko ini,identity_mismatch
Nama penerima beda sama nama toko tadi,identity_mismatch
Nama penerima beda sama nama toko barusan,identity_mismatch
Nama penerima beda sama nama toko agak aneh,identity_mismatch
Nama penerima beda sama nama toko cukup jelas,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant deh,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant nih,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant ya,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant banget,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant sih,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant aja,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant kok,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant dong,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant bgt,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant kayaknya,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant menurut saya,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant pas saya bayar,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant waktu saya transaksi,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant pas discan,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant di toko ini,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant tadi,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant barusan,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant agak aneh,identity_mismatch
Nama rekening tujuan nggak sesuai sama merchant cukup jelas,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko deh,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko nih,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko ya,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko banget,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko sih,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko aja,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko kok,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko dong,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko bgt,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko kayaknya,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko menurut saya,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko pas saya bayar,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko waktu saya transaksi,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko pas discan,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko di toko ini,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko tadi,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko barusan,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko agak aneh,identity_mismatch
Pas bayar nama penerimanya beda dari nama toko cukup jelas,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain deh,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain nih,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain ya,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain banget,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain sih,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain aja,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain kok,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain dong,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain bgt,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain kayaknya,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain menurut saya,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain pas saya bayar,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain waktu saya transaksi,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain pas discan,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain di toko ini,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain tadi,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain barusan,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain agak aneh,identity_mismatch
QRIS toko pas discan malah muncul nama orang lain cukup jelas,identity_mismatch
Nama di aplikasi beda jauh dari nama toko,identity_mismatch
Nama di aplikasi beda jauh dari nama toko deh,identity_mismatch
Nama di aplikasi beda jauh dari nama toko nih,identity_mismatch
Nama di aplikasi beda jauh dari nama toko ya,identity_mismatch
Nama di aplikasi beda jauh dari nama toko banget,identity_mismatch
Nama di aplikasi beda jauh dari nama toko sih,identity_mismatch
Nama di aplikasi beda jauh dari nama toko aja,identity_mismatch
Nama di aplikasi beda jauh dari nama toko kok,identity_mismatch
Nama di aplikasi beda jauh dari nama toko dong,identity_mismatch
Nama di aplikasi beda jauh dari nama toko bgt,identity_mismatch
Nama di aplikasi beda jauh dari nama toko kayaknya,identity_mismatch
Nama di aplikasi beda jauh dari nama toko menurut saya,identity_mismatch
Nama di aplikasi beda jauh dari nama toko pas saya bayar,identity_mismatch
Nama di aplikasi beda jauh dari nama toko waktu saya transaksi,identity_mismatch
Nama di aplikasi beda jauh dari nama toko pas discan,identity_mismatch
Nama di aplikasi beda jauh dari nama toko di toko ini,identity_mismatch
Nama di aplikasi beda jauh dari nama toko tadi,identity_mismatch
Nama di aplikasi beda jauh dari nama toko barusan,identity_mismatch
Stiker QRIS ditempel ganda di atas kode QR aslinya,qr_replacement
Ada stiker palsu yang sengaja ditimpa di atas akrilik QRIS toko,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli deh,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli nih,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli ya,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli banget,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli sih,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli aja,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli kok,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli dong,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli bgt,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli kayaknya,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli menurut saya,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli pas saya bayar,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli waktu saya transaksi,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli pas discan jadi saya ragu,"qr_replacement",
QRIS kayak ditempel stiker baru di atas QR asli di toko ini,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli tadi,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli barusan,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli agak aneh,qr_replacement
QRIS kayak ditempel stiker baru di atas QR asli cukup jelas,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh deh,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh nih,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh ya,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh banget,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh sih,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh aja,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh kok,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh dong,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh bgt,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh kayaknya,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh menurut saya,qr_replacement
Kayaknya QRIS ini ditimpa stiker lain deh pas saya bayar,qr_replacement
